iter	Passed	Remaining
0	18	1794
1	38	1867
2	67	2180
3	89	2139
4	103	1966
5	122	1922
6	140	1871
7	156	1802
8	183	1852
9	223	2012
10	257	2082
11	278	2045
12	294	1969
13	327	2009
14	346	1963
15	361	1899
16	380	1859
17	398	1816
18	414	1768
19	433	1733
20	461	1734
21	498	1765
22	524	1755
23	538	1706
24	559	1677
25	575	1638
26	592	1601
27	653	1679
28	751	1840
29	853	1990
30	1135	2526
31	1179	2506
32	1234	2505
33	1334	2591
34	1374	2551
35	1425	2533
36	1504	2561
37	1554	2536
38	1632	2553
39	1676	2515
40	1735	2497
41	1772	2447
42	1791	2375
43	1811	2306
44	1833	2240
45	1851	2173
46	1865	2103
47	1884	2041
48	1899	1977
49	2089	2089
50	2325	2233
51	2498	2306
52	2570	2279
53	2587	2204
54	2603	2129
55	2621	2059
56	2637	1990
57	2655	1922
58	2680	1862
59	2703	1802
60	2721	1739
61	2742	1680
62	2761	1621
63	2790	1569
64	2810	1513
65	2830	1458
66	2854	1405
67	2877	1354
68	2897	1301
69	2912	1248
70	2928	1196
71	2942	1144
72	2965	1096
73	2979	1047
74	2998	999
75	3012	951
76	3033	906
77	3047	859
78	3065	814
79	3080	770
80	3095	726
81	3115	683
82	3135	642
83	3156	601
84	3176	560
85	3197	520
86	3212	480
87	3227	440
88	3242	400
89	3260	362
90	3274	323
91	3289	286
92	3308	249
93	3323	212
94	3340	175
95	3357	139
96	3370	104
97	3387	69
98	3402	34
99	3423	0
